id_kandidat,cv_text,id_lowongan,job_desc,label
C0001,"Saya lulusan Statistika, pengalaman 2 tahun sebagai Data Analyst menggunakan SQL.",L001,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 5 tahun.",0
C0002,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Tax Reporting.",L002,"Dibutuhkan Digital Marketer dengan fokus pada Google Ads, pengalaman kerja minimal 5 tahun.",0
C0003,"Lulusan Akuntansi dengan pengalaman 4 tahun, terbiasa dengan Tax Reporting.",L003,"Staff Administrasi dibutuhkan, harus menguasai Filing System, pengalaman minimal 5 tahun.",0
C0004,Pengalaman 3 tahun sebagai admin dengan kemampuan Inventory Control.,L004,"Staff Administrasi dibutuhkan, harus menguasai Inventory Control, pengalaman minimal 3 tahun.",1
C0005,Pengalaman 1 tahun sebagai admin dengan kemampuan Email Management.,L005,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 4 tahun.",0
C0006,"Saya memiliki pengalaman 4 tahun sebagai Software Engineer, menguasai React.",L006,"Dicari Software Engineer dengan keahlian React, minimal pengalaman 4 tahun.",1
C0007,Saya memiliki pengalaman 5 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L007,"Staff Administrasi dibutuhkan, harus menguasai ERP, pengalaman minimal 7 tahun.",0
C0008,Saya memiliki pengalaman 4 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L008,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 6 tahun.",0
C0009,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada SEM.,L009,"Lowongan Data Analyst dengan keahlian Excel, pengalaman minimal 4 tahun.",0
C0010,"Saya lulusan Statistika, pengalaman 1 tahun sebagai Data Analyst menggunakan Excel.",L010,"Dibutuhkan Digital Marketer dengan fokus pada SEM, pengalaman kerja minimal 2 tahun.",0
C0011,Saya memiliki pengalaman 2 tahun di bidang pemasaran digital dengan fokus pada Google Ads.,L001,"Lowongan Accounting Staff, menguasai MYOB, pengalaman kerja minimal 4 tahun.",0
C0012,"Lulusan Akuntansi dengan pengalaman 3 tahun, terbiasa dengan Accurate.",L002,"Staff Administrasi dibutuhkan, harus menguasai Microsoft Excel, pengalaman minimal 4 tahun.",0
C0013,Saya memiliki pengalaman 4 tahun di bidang pemasaran digital dengan fokus pada SEO.,L003,"Lowongan Data Analyst dengan keahlian Tableau, pengalaman minimal 5 tahun.",0
C0014,Pengalaman 3 tahun sebagai admin dengan kemampuan Filing System.,L004,"Lowongan Accounting Staff, menguasai Excel, pengalaman kerja minimal 6 tahun.",0
